frame,time_s,z_m,vz_mps,F_brake_N,P_recov_W,E_cum_J,wheel_deg
316,2.625,11.913937,-1.22625,4905.0,4059.96,9938.74,442.05
317,2.633333,11.903719,-1.22625,4905.0,4059.96,9972.57,443.51
318,2.641667,11.8935,-1.22625,4905.0,4059.96,10006.4,444.97
319,2.65,11.883281,-1.22625,4905.0,4059.96,10040.24,446.44
320,2.658333,11.873062,-1.22625,4905.0,4059.96,10074.07,447.9
321,2.666667,11.862844,-1.22625,4905.0,4059.96,10107.9,449.36
322,2.675,11.852625,-1.22625,4905.0,4059.96,10141.73,450.83
323,2.683333,11.842406,-1.22625,4905.0,4059.96,10175.57,452.29
324,2.691667,11.832187,-1.22625,4905.0,4059.96,10209.4,453.76
325,2.7,11.821969,-1.22625,4905.0,4059.96,10243.23,455.22
326,2.708333,11.81175,-1.22625,4905.0,4059.96,10277.07,456.68
327,2.716667,11.801531,-1.22625,4905.0,4059.96,10310.9,458.15
328,2.725,11.791312,-1.22625,4905.0,4059.96,10344.73,459.61
329,2.733333,11.781094,-1.22625,4905.0,4059.96,10378.57,461.07
330,2.741667,11.770875,-1.22625,4905.0,4059.96,10412.4,462.54
331,2.75,11.760656,-1.22625,4905.0,4059.96,10446.23,464.0
332,2.758333,11.750437,-1.22625,4905.0,4059.96,10480.06,465.47
333,2.766667,11.740219,-1.22625,4905.0,4059.96,10513.9,466.93
334,2.775,11.73,-1.22625,4905.0,4059.96,10547.73,468.39
335,2.783333,11.719781,-1.22625,4905.0,4059.96,10581.56,469.86
336,2.791667,11.709562,-1.22625,4905.0,4059.96,10615.4,471.32
337,2.8,11.699344,-1.22625,4905.0,4059.96,10649.23,472.78
338,2.808333,11.689125,-1.22625,4905.0,4059.96,10683.06,474.25
339,2.816667,11.678906,-1.22625,4905.0,4059.96,10716.9,475.71
340,2.825,11.668687,-1.22625,4905.0,4059.96,10750.73,477.18
341,2.833333,11.658469,-1.22625,4905.0,4059.96,10784.56,478.64
342,2.841667,11.64825,-1.22625,4905.0,4059.96,10818.39,480.1
343,2.85,11.638031,-1.22625,4905.0,4059.96,10852.23,481.57
344,2.858333,11.627812,-1.22625,4905.0,4059.96,10886.06,483.03
345,2.866667,11.617594,-1.22625,4905.0,4059.96,10919.89,484.49
346,2.875,11.607375,-1.22625,4905.0,4059.96,10953.73,485.96
347,2.883333,11.597156,-1.22625,4905.0,4059.96,10987.56,487.42
348,2.891667,11.586937,-1.22625,4905.0,4059.96,11021.39,488.89
349,2.9,11.576719,-1.22625,4905.0,4059.96,11055.23,490.35
350,2.908333,11.5665,-1.22625,4905.0,4059.96,11089.06,491.81
351,2.916667,11.556281,-1.22625,4905.0,4059.96,11122.89,493.28
352,2.925,11.546062,-1.22625,4905.0,4059.96,11156.72,494.74
353,2.933333,11.535844,-1.22625,4905.0,4059.96,11190.56,496.2
354,2.941667,11.525625,-1.22625,4905.0,4059.96,11224.39,497.67
355,2.95,11.515406,-1.22625,4905.0,4059.96,11258.22,499.13
356,2.958333,11.505187,-1.22625,4905.0,4059.96,11292.06,500.6
357,2.966667,11.494969,-1.22625,4905.0,4059.96,11325.89,502.06
358,2.975,11.48475,-1.22625,4905.0,4059.96,11359.72,503.52
359,2.983333,11.474531,-1.22625,4905.0,4059.96,11393.56,504.99
360,2.991667,11.464312,-1.22625,4905.0,4059.96,11427.39,506.45
361,3.0,11.454094,-1.22625,4905.0,4059.96,11461.22,507.91
362,3.008333,11.443875,-1.22625,4905.0,4059.96,11495.05,509.38
363,3.016667,11.433656,-1.22625,4905.0,4059.96,11528.89,510.84
364,3.025,11.423437,-1.22625,4905.0,4059.96,11562.72,512.3
365,3.033333,11.413219,-1.22625,4905.0,4059.96,11596.55,513.77
366,3.041667,11.403,-1.22625,4905.0,4059.96,11630.39,515.23
367,3.05,11.392781,-1.22625,4905.0,4059.96,11664.22,516.7
368,3.058333,11.382562,-1.22625,4905.0,4059.96,11698.05,518.16
369,3.066667,11.372344,-1.22625,4905.0,4059.96,11731.89,519.62
370,3.075,11.362125,-1.22625,4905.0,4059.96,11765.72,521.09
371,3.083333,11.351906,-1.22625,4905.0,4059.96,11799.55,522.55
372,3.091667,11.341687,-1.22625,4905.0,4059.96,11833.38,524.01
373,3.1,11.331469,-1.22625,4905.0,4059.96,11867.22,525.48
374,3.108333,11.32125,-1.22625,4905.0,4059.96,11901.05,526.94
375,3.116667,11.311031,-1.22625,4905.0,4059.96,11934.88,528.41
376,3.125,11.300812,-1.22625,4905.0,4059.96,11968.72,529.87
377,3.133333,11.290594,-1.22625,4905.0,4059.96,12002.55,531.33
378,3.141667,11.280375,-1.22625,4905.0,4059.96,12036.38,532.8
